Neighborhood,cafe,hospital,restaurant,school
Bayview Hunters Point,12.0,0.0,7.0,4.0
Bernal Heights,11.0,0.0,43.0,4.0
Castro/Upper Market,20.0,0.0,54.0,1.0
Chinatown,38.0,0.0,121.0,6.0
Excelsior,2.0,0.0,14.0,5.0
Financial District/South Beach,108.0,0.0,169.0,2.0
Glen Park,2.0,0.0,9.0,0.0
Golden Gate Park,3.0,0.0,2.0,0.0
Haight Ashbury,21.0,0.0,29.0,2.0
Hayes Valley,19.0,0.0,69.0,2.0
Inner Richmond,22.0,0.0,70.0,1.0
Inner Sunset,20.0,1.0,53.0,0.0
Japantown,7.0,0.0,25.0,0.0
Lakeshore,15.0,0.0,10.0,1.0
Lincoln Park,0.0,0.0,1.0,0.0
Lone Mountain/USF,8.0,0.0,11.0,3.0
Marina,15.0,0.0,59.0,1.0
McLaren Park,0.0,0.0,0.0,2.0
Mission,57.0,1.0,199.0,6.0
Mission Bay,26.0,0.0,28.0,1.0
Nob Hill,29.0,0.0,67.0,2.0
Noe Valley,15.0,0.0,36.0,1.0
North Beach,23.0,0.0,78.0,2.0
Oceanview/Merced/Ingleside,3.0,0.0,5.0,1.0
Outer Mission,4.0,0.0,10.0,2.0
Outer Richmond,36.0,0.0,80.0,3.0
Pacific Heights,10.0,0.0,28.0,11.0
Portola,3.0,0.0,17.0,0.0
Potrero Hill,22.0,1.0,25.0,1.0
Presidio,3.0,0.0,5.0,0.0
Presidio Heights,7.0,0.0,8.0,0.0
Russian Hill,18.0,0.0,50.0,1.0
South of Market,29.0,0.0,54.0,1.0
Sunset/Parkside,44.0,1.0,88.0,3.0
Tenderloin,40.0,0.0,118.0,1.0
Treasure Island,1.0,0.0,1.0,0.0
West of Twin Peaks,15.0,0.0,45.0,0.0
Western Addition,10.0,0.0,23.0,4.0
